Mac nameDiff Lat,Diff Lon,Diff Alt,
00:02:6f:8e:64:67,0.0,0.0,0.0,
00:02:6f:b8:c4:1a,0.0,0.0,0.0,
00:0d:f0:3e:fa:ca,0.0,0.0,0.0,
00:0e:f4:c1:50:14,0.0,0.0,0.0,
00:11:6b:11:02:b7,7.00992878961415E-5,8.048543115535267E-5,0.10408981494413183,
00:11:6b:11:7d:c7,5.722900612425974E-5,6.928046377652208E-5,0.4504206395787378,
00:11:6b:11:7e:0c,2.11478914174279E-4,3.47799515552083E-5,7.887433095505116,
00:11:6b:2a:90:3c,0.0,7.105427357601002E-15,1.1368683772161603E-13,
00:12:2a:39:2c:3c,0.0,0.0,0.0,
00:1a:2f:7f:6b:70,7.2609599037321E-5,2.4689142160383426E-4,0.07294401030981135,
00:1a:dd:e3:06:e4,0.0,0.0,0.0,
00:1a:dd:f4:ef:04,7.105427357601002E-15,7.105427357601002E-15,0.0,
00:1a:dd:f4:ef:c4,0.0,0.0,0.0,
00:1a:dd:f4:ef:c5,0.0,0.0,0.0,
00:1a:dd:f4:f5:c4,1.2572157358192726E-4,2.9823231328407473E-4,0.02832074667435336,
00:1a:dd:f4:f5:c5,0.0,0.0,1.1368683772161603E-13,
00:1a:dd:f4:fc:64,0.0,0.0,0.0,
00:1a:dd:f4:fc:65,0.0,0.0,0.0,
00:1a:dd:f4:fc:84,0.0,0.0,0.0,
00:1a:dd:f4:fc:85,0.0,0.0,0.0,
00:1a:dd:f5:06:a4,0.0,0.0,0.0,
00:1a:dd:f5:06:a5,0.0,0.0,0.0,
00:1a:dd:f5:df:c4,0.0,0.0,0.0,
00:1a:dd:f5:df:c5,0.0,0.0,0.0,
00:1a:dd:f5:e2:e4,0.0,7.105427357601002E-15,1.1368683772161603E-13,
00:1a:dd:f5:e2:e5,0.0,0.0,0.0,
00:1a:dd:f5:e9:24,0.0,0.0,1.1368683772161603E-13,
00:1a:dd:f5:e9:25,3.319923692330917E-4,2.482761165296665E-4,0.5048200795940829,
00:1d:aa:81:d8:3c,6.410055206629295E-5,1.333167627493026E-4,1.6188321966648118,
00:21:04:4c:2a:a2,0.0,0.0,0.0,
00:25:86:cc:00:f8,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
00:25:86:cc:07:b2,0.0,0.0,0.0,
00:27:19:13:fc:a4,0.0,7.105427357601002E-15,1.1368683772161603E-13,
00:27:19:e3:2d:fe,0.0,0.0,0.0,
00:27:22:f3:a6:9a,0.0,0.0,0.0,
00:27:22:f3:bb:2b,0.0,0.0,0.0,
00:27:22:f3:bb:3a,0.0,0.0,0.0,
00:27:22:f3:bb:86,0.0,0.0,0.0,
00:27:22:f3:e0:83,0.0,0.0,0.0,
00:27:22:f3:e2:f3,0.0,0.0,0.0,
00:8c:54:90:ce:d1,0.0,0.0,0.0,
06:ae:db:3a:64:05,0.0,0.0,0.0,
08:97:58:32:a6:3e,0.0,0.0,0.0,
08:ed:b9:3d:8f:4b,0.0,0.0,0.0,
10:0d:7f:7c:90:0a,0.0,0.0,0.0,
10:be:f5:36:02:e2,0.0,0.0,0.0,
10:be:f5:39:8f:f2,0.0,0.0,0.0,
10:be:f5:3b:68:2c,0.0,0.0,0.0,
10:be:f5:a7:b4:f4,0.0,0.0,0.0,
14:ae:db:32:52:12,0.0,0.0,0.0,
14:ae:db:3a:64:05,0.0,0.0,0.0,
14:ae:db:43:88:35,0.0,0.0,0.0,
14:ae:db:4f:50:75,0.0,0.0,0.0,
14:ae:db:58:0d:6d,0.0,0.0,0.0,
14:ae:db:cb:05:f5,0.0,0.0,0.0,
14:ae:db:cf:86:f5,0.0,0.0,0.0,
18:d6:c7:ad:25:1a,0.0,0.0,0.0,
1c:b9:c4:12:7c:c8,1.6048830210735332E-4,2.1549605007464834E-4,1.4263250313854314,
1c:b9:c4:12:7c:cc,0.0,0.0,0.0,
1c:b9:c4:12:90:b8,3.787848969238894E-5,2.3904049358236534E-4,2.3697516638337675,
1c:b9:c4:12:90:bc,1.824963663352719E-4,2.809187450267814E-4,4.265918378032666,
1c:b9:c4:12:af:78,1.9502511563018743E-4,7.602201075940229E-5,2.6108042549759602,
1c:b9:c4:12:af:7c,0.0,0.0,0.0,
1c:b9:c4:14:2b:88,4.8710349453529034E-5,4.479979202187678E-5,0.5132577050732152,
1c:b9:c4:14:2b:8c,0.0,0.0,0.0,
1c:b9:c4:14:2b:c8,1.5655087587873595E-4,1.326675498276586E-4,5.698630982847362,
1c:b9:c4:14:2b:cc,0.0,0.0,0.0,
1c:b9:c4:14:2b:d8,4.282332601945882E-5,8.072722327767679E-5,1.2894931804599992,
1c:b9:c4:14:2b:dc,2.588373714473846E-5,8.333146549688308E-5,0.8688901465243362,
1c:b9:c4:14:2c:18,0.0,0.0,0.0,
1c:b9:c4:14:2c:38,1.897538952277955E-4,6.839808074232678E-5,0.15009868052118236,
1c:b9:c4:14:2c:3c,4.0676463065381085E-5,1.753657132042008E-5,2.3422169853926107,
1c:b9:c4:14:2f:68,4.946024887431122E-7,1.5887122980728918E-4,3.6897850445366203,
1c:b9:c4:14:2f:6c,0.0,0.0,0.0,
1c:b9:c4:14:2f:a8,0.0,0.0,0.0,
1c:b9:c4:14:30:08,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:14:30:0c,0.0,0.0,0.0,
1c:b9:c4:14:30:38,1.7949792344040816E-5,9.797650207588049E-6,0.5650922169837713,
1c:b9:c4:14:30:3c,0.0,0.0,0.0,
1c:b9:c4:14:33:c8,8.702387329151406E-5,2.443119415929118E-4,0.04132971513774919,
1c:b9:c4:14:33:cc,1.6012347074934041E-6,1.487061385816446E-4,4.211609990709121,
1c:b9:c4:14:36:f8,0.0,0.0,0.0,
1c:b9:c4:14:36:fc,0.0,0.0,0.0,
1c:b9:c4:14:62:48,1.529449428545604E-4,3.230550845501057E-5,0.7401424572892665,
1c:b9:c4:14:62:4c,0.0,0.0,0.0,
1c:b9:c4:15:1b:88,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:15:1b:8c,0.0,0.0,0.0,
