Index,Mac Name,Number of macSSID,Frequency,Signal,Lat,Lon,Alt,Time,
0,1c:b9:c4:15:42:68,1,Ariel_University,-85.0,32.10487307,35.21134308,692.0,Sun Dec 03 08:53:08 IST 2017, Approx. w-center algo1
1,1c:b9:c4:15:44:58,2,Ariel_University,-88.0,32.10495753300885,35.21119324070796,690.3008849557522,Sun Dec 03 08:53:08 IST 2017, Approx. w-center algo1
2,1c:b9:c4:16:2d:e8,1,Ariel_University,-88.0,32.1050222,35.21107852,689.0,Sun Dec 03 08:53:24 IST 2017, Approx. w-center algo1
3,1c:b9:c4:15:25:48,1,Ariel_University,-88.0,32.10503208,35.21092655,687.0,Sun Dec 03 08:53:27 IST 2017, Approx. w-center algo1
4,1c:b9:c4:16:05:38,1,Ariel_University,-90.0,32.10495375,35.21060853,686.0,Sun Dec 03 08:53:33 IST 2017, Approx. w-center algo1
5,00:11:6b:11:7e:0c,1,yosh,-84.0,32.10490203,35.21044203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
6,1c:b9:c4:15:44:88,1,Ariel_University,-88.0,32.10490203,35.21044203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
7,1c:b9:c4:15:ed:48,1,Ariel_University,-89.0,32.10490203,35.21044203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
8,1c:b9:c4:16:05:38,1,Ariel_University,-82.0,32.10490203,35.21044203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
9,1c:b9:c4:16:2d:e8,1,Ariel_University,-83.0,32.10490203,35.21044203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
10,1c:b9:c4:14:2b:c8,1,Ariel_University,-90.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
11,1c:b9:c4:15:41:78,1,Ariel_University,-90.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
12,1c:b9:c4:15:42:68,1,Ariel_University,-86.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
13,1c:b9:c4:16:2b:e8,1,Ariel_University,-83.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
14,90:6c:ac:a0:7b:4d,1,EVE,-83.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
15,a2:6c:ac:a0:7b:4d,1,Guest,-82.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
16,c2:6c:ac:9f:fb:1f,1,shapedo,-82.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
17,c2:6c:ac:a0:7b:4d,1,outsense,-80.0,32.1048406,35.21025994,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
18,00:1a:dd:f5:df:c5,1,Afikim_Wifi,-87.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
19,1c:b9:c4:15:44:58,1,Ariel_University,-79.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
