Mac nameDiff Lat,Diff Lon,Diff Alt,
00:11:6b:11:02:b7,0.0016680303364182691,6.796247181384274E-4,1.0102560861878374,
00:18:25:12:72:f0,0.0,0.0,0.0,
00:1a:dd:f5:df:c5,0.0,0.0,0.0,
00:1d:aa:81:d8:3c,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
02:21:5c:af:69:82,0.0,0.0,0.0,
1c:b9:c4:15:fd:e8,2.146677363867866E-5,2.772080228652385E-5,0.44928366762178484,
1c:b9:c4:92:af:77,3.420983184554416E-5,2.4793350524277E-4,2.237301876639094,
2a:56:5a:9e:2e:ce,0.0,0.0,0.0,
30:e1:71:0f:a2:49,0.0,0.0,0.0,
3c:52:82:ef:a4:8b,0.0,0.0,0.0,
3c:52:82:ef:c4:3c,0.0,0.0,0.0,
40:a5:ef:7a:17:f2,7.105427357601002E-15,0.0,0.0,
62:ab:1b:60:b4:cb,0.0,1.4210854715202004E-14,1.1368683772161603E-13,
70:5a:0f:57:04:17,0.0,0.0,0.0,
74:ea:3a:ad:d1:50,0.0,0.0,0.0,
90:6c:ac:9f:f1:c5,0.0,0.0,0.0,
90:6c:ac:a0:60:4d,7.756972822647867E-5,1.5246880152375297E-4,0.9790596807662268,
90:6c:ac:a0:7b:4d,0.0,0.0,0.0,
a0:ab:1b:60:b4:ca,0.0,0.0,0.0,
a2:6c:ac:a0:18:29,0.0,0.0,0.0,
a2:6c:ac:a0:60:4d,0.0,0.0,0.0,
b2:6c:ac:9f:f1:c5,0.0,0.0,0.0,
b2:6c:ac:a0:3d:eb,0.0,0.0,0.0,
b2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
c2:6c:ac:9f:fb:1f,0.0,0.0,0.0,
c2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
c4:12:f5:f6:a0:18,0.0,0.0,0.0,
d8:5d:4c:9e:69:22,0.0,0.0,0.0,
e4:95:6e:40:87:1a,0.0,0.0,0.0,
ec:8c:a2:08:94:18,2.616091946450183E-4,1.0275550015848012E-4,0.4387022266097347,
f8:d1:11:77:77:c6,3.7066919244921337E-4,3.2005326775674803E-4,6.32538845629972,

Average latitude : 6.083887643093533E-4
Average longitude : 3.8263914878200467E-4
Average altitude : 2.8599979985311563
