Index,Mac Name,SSID,Frequency,Signal,Lat,Lon,Alt,Time,
0,1c:b9:c4:15:42:68,Ariel_University,2400,-85.0,35.21134308,32.10487307,692.0,Sun Dec 03 08:53:08 IST 2017, Approx. w-center algo1
1,1c:b9:c4:15:44:58,Ariel_University,2400,-88.0,35.21119324070796,32.10495753300885,690.3008849557522,Sun Dec 03 08:53:08 IST 2017, Approx. w-center algo1
2,1c:b9:c4:16:2d:e8,Ariel_University,2400,-88.0,35.21107852,32.1050222,689.0,Sun Dec 03 08:53:24 IST 2017, Approx. w-center algo1
3,1c:b9:c4:15:25:48,Ariel_University,2400,-88.0,35.21092655,32.10503208,687.0,Sun Dec 03 08:53:27 IST 2017, Approx. w-center algo1
4,1c:b9:c4:16:05:38,Ariel_University,2400,-90.0,35.21060853,32.10495375,686.0,Sun Dec 03 08:53:33 IST 2017, Approx. w-center algo1
5,00:11:6b:11:7e:0c,yosh,2400,-84.0,35.21044203,32.10490203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
6,1c:b9:c4:15:44:88,Ariel_University,2400,-88.0,35.21044203,32.10490203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
7,1c:b9:c4:15:ed:48,Ariel_University,2400,-89.0,35.21044203,32.10490203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
8,1c:b9:c4:16:05:38,Ariel_University,2400,-82.0,35.21044203,32.10490203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
9,1c:b9:c4:16:2d:e8,Ariel_University,2400,-83.0,35.21044203,32.10490203,686.0,Sun Dec 03 08:53:36 IST 2017, Approx. w-center algo1
10,1c:b9:c4:14:2b:c8,Ariel_University,2400,-90.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
11,1c:b9:c4:15:41:78,Ariel_University,2400,-90.0,35.21025994,32.1048406,688.0,Sun Dec 03 08:53:39 IST 2017, Approx. w-center algo1
