Index,Mac Name,SSID,Frequency,Signal,Lat,Lon,Alt,Time,
0,c0:ac:54:f5:b4:c9,HOTBOX-D88A,2400,-92.0,32.17224246105308,34.8144489381276,7.777438959165592,Mon Jan 01 10:42:54 IST 2018, Approx. w-center algo1
1,b4:ee:b4:86:c0:f1,Efrat,2400,-74.0,32.172238019565235,34.81444473498782,10.580361150029846,Mon Jan 01 10:43:00 IST 2018, Approx. w-center algo1
2,80:1f:02:f5:d8:e8,angela,2400,-89.0,32.172252019523675,34.814391891326764,17.18081811626479,Mon Jan 01 10:43:06 IST 2018, Approx. w-center algo1
3,14:ae:db:cc:ed:6d,KarvatB0.5,5000,-89.0,32.172265215924426,34.81421445142988,22.818991521293682,Mon Jan 01 10:43:18 IST 2018, Approx. w-center algo1
4,52:b0:ce:ac:32:98,Bezeq Free GA32E3,2400,-80.0,32.1723485161587,34.81363858823374,24.55807198020147,Mon Jan 01 10:43:29 IST 2018, Approx. w-center algo1
5,a4:2b:b0:ad:2d:34,lellouche,2400,-93.0,32.17237425,34.81350895,46.0,Mon Jan 01 10:43:31 IST 2018, Approx. w-center algo1
6,6c:b0:ce:ac:32:9b,dobry2016,2400,-69.0,32.17238058500455,34.81341290942063,25.130925493340825,Mon Jan 01 10:43:33 IST 2018, Approx. w-center algo1
7,20:0c:c8:1b:a2:48,Mevohot_1,2400,-95.0,32.17238884,34.81333642,45.0,Mon Jan 01 10:43:34 IST 2018, Approx. w-center algo1
8,80:26:89:0d:4f:84,DIR-825-4f83,2400,-66.0,32.17241155333384,34.81318688512261,25.941801984532795,Mon Jan 01 10:43:37 IST 2018, Approx. w-center algo1
9,60:e3:27:e8:41:e8,Mevohot_3,2400,-86.0,32.17241727,34.81315388,44.0,Mon Jan 01 10:43:37 IST 2018, Approx. w-center algo1
10,74:da:38:14:1f:8d,sellahome_2EX,2400,-82.0,32.17241727,34.81315388,44.0,Mon Jan 01 10:43:37 IST 2018, Approx. w-center algo1
11,80:26:89:0d:4f:84,DIR-825-4f83,2400,-66.0,32.17241727,34.81315388,44.00000000000001,Mon Jan 01 10:43:37 IST 2018, Approx. w-center algo1
12,06:ae:db:ba:1e:85,BezeqFree,2400,-81.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
13,08:3e:5d:5c:72:5e,Lahav,2400,-89.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
14,10:0d:7f:80:17:80,ELDAD,2400,-87.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
15,14:ae:db:c1:ad:7d,shweiger1,2400,-84.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
16,c4:a8:1d:12:7d:4c,Orit,2400,-91.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
17,d8:fb:5e:17:47:f8,sellahome,2400,-83.0,32.17243758,34.81296682,47.0,Mon Jan 01 10:43:40 IST 2018, Approx. w-center algo1
18,80:26:89:0d:4f:84,DIR-825-4f83,2400,-66.0,32.17244042298214,34.81295646141121,26.35851917429424,Mon Jan 01 10:43:41 IST 2018, Approx. w-center algo1
19,06:ae:db:c1:ad:7d,BezeqFree,2400,-87.0,32.17246651,34.81278713,48.0,Mon Jan 01 10:43:43 IST 2018, Approx. w-center algo1
20,10:0d:7f:80:17:80,ELDAD,2400,-87.0,32.172474415455035,34.812748815824484,38.25158527225554,Mon Jan 01 10:43:43 IST 2018, Approx. w-center algo1
21,80:1f:02:e8:b9:cc,Eldad_2EX,2400,-82.0,32.17248344093608,34.81270507338805,27.122038414759338,Mon Jan 01 10:43:45 IST 2018, Approx. w-center algo1
