Mac nameDiff Lat,Diff Lon,Diff Alt,
90:6c:ac:a0:7b:4d,1.0308664120373123E-4,2.0730863691653667E-4,0.5913304721030954,
c2:6c:ac:9f:fb:1f,3.1957399250615026E-4,5.357318474992212E-4,1.4818188496290077,
c2:6c:ac:a0:7b:4d,9.730438745236825E-5,1.9901958135193354E-4,0.05221994892212933,
00:1a:dd:f5:df:c5,0.0,0.0,0.0,
74:ea:3a:ad:d1:50,1.1060203118518075E-4,1.9612353459308451E-4,1.238544582167151,
c2:6c:ac:a0:7b:4d,1.0134387451898874E-5,1.381958135482364E-5,1.0522199489221293,
70:5a:0f:57:04:17,0.0,0.0,0.0,
90:6c:ac:a0:60:4d,7.756972822647867E-5,1.5246880152375297E-4,0.9790596807662268,
90:6c:ac:a0:7b:4d,7.124335879638011E-5,1.4327136308622812E-4,0.4086695278969046,
a2:6c:ac:a0:60:4d,0.0,0.0,0.0,
c2:6c:ac:a0:7b:4d,7.70256125477431E-5,1.5156041865083125E-4,0.9477800510778707,
74:ea:3a:ad:d1:50,6.799796882006603E-5,1.2057646541308031E-4,0.761455417832849,
90:6c:ac:9f:f1:c5,4.769227398000453E-4,3.987873476489767E-4,0.4704400755614415,
a2:6c:ac:a0:18:29,0.0,0.0,0.0,
b2:6c:ac:9f:f1:c5,7.266958125740075E-5,8.261149329058526E-5,0.0,
c2:6c:ac:9f:fb:1f,3.2741600749375266E-4,5.488781525002651E-4,1.5181811503709923,
b2:6c:ac:9f:f1:c5,5.77304187459049E-5,6.562850671087972E-5,0.0,
b2:6c:ac:a0:3d:eb,0.0,0.0,0.0,
b2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
90:6c:ac:9f:f1:c5,5.368572602009181E-4,4.489026523444295E-4,0.5295599244385585,
ec:8c:a2:08:94:18,2.1649239289445177E-4,5.119641014914578E-4,8.408777216017029,
ec:8c:a2:08:94:18,8.419239289025882E-5,5.268041014971914E-4,7.408777216017029,
f8:d1:11:77:77:c6,5.040978087578196E-5,7.537482218822333E-4,8.263066406315374,
62:ab:1b:60:b4:cb,2.9655910137904584E-4,4.4214909809880965E-4,1.9109817256900214,
a0:ab:1b:60:b4:ca,3.1701000000339263E-4,5.359049999995591E-4,3.0,
62:ab:1b:60:b4:cb,7.708089862035195E-5,2.5888909809879124E-4,0.9109817256900214,
ec:8c:a2:08:94:18,9.93857607106463E-4,3.218741014947568E-4,6.408777216017029,
c4:12:f5:f6:a0:18,4.788421284374067E-4,3.028127706414807E-4,2.348623853211052,
00:11:6b:11:02:b7,0.0016680303364182691,6.796247181384274E-4,1.0102560861878374,
a0:ab:1b:60:b4:ca,3.170099999962872E-4,5.359049999995591E-4,3.0,
f8:d1:11:77:77:c6,8.768097808768971E-4,3.653617781154139E-4,3.263066406315488,
62:ab:1b:60:b4:cb,2.0760089861937558E-4,7.745709019033598E-4,3.0890182743099786,
00:1d:aa:81:d8:3c,2.709863355008224E-4,2.622892474590799E-5,4.925066408439648,
40:a5:ef:7a:17:f2,2.2966960018067084E-4,1.2599165440718707E-4,12.833690468365148,
c4:12:f5:f6:a0:18,5.405678715604267E-4,3.418472293574837E-4,2.651376146788948,
d8:5d:4c:9e:69:22,8.967843056240099E-5,2.4539655462518795E-4,5.877525742783519,
00:1d:aa:81:d8:3c,0.0010096706485072104,4.695308848496893E-4,3.925066408439534,
d8:5d:4c:9e:69:22,4.841515694380405E-4,8.448034453749642E-4,0.12247425721648142,
1c:b9:c4:15:fd:e8,2.146677363867866E-5,2.772080228652385E-5,0.44928366762178484,
1c:b9:c4:92:af:77,8.39616365482243E-5,7.939598837225503E-5,1.8777883556921324,
3c:52:82:ef:c4:3c,3.0281327056513874E-5,4.354934368677732E-6,5.409032781853966,
e4:95:6e:40:87:1a,0.0,0.0,0.0,
d8:5d:4c:9e:69:22,3.401324513774284E-4,5.168355333609043E-4,4.962263780922285,
1c:b9:c4:92:af:77,7.79491425504375E-5,9.670802326411376E-5,2.889747669354392,
00:1d:aa:81:d8:3c,1.3476289841918287E-4,1.9760158381387782E-4,8.607907705240677,
02:21:5c:af:69:82,0.0,0.0,0.0,
00:18:25:12:72:f0,0.0,0.0,0.0,
3c:52:82:ef:a4:8b,0.0,0.0,0.0,
40:a5:ef:7a:17:f2,6.879479533949961E-4,5.309617345261586E-5,5.535955292652375,
3c:52:82:ef:c4:3c,2.622161981946647E-5,3.771084188031182E-6,4.683863456354743,
40:a5:ef:7a:17:f2,4.7670809554034577E-4,1.1168929746929734E-4,6.320614601773855,
30:e1:71:0f:a2:49,0.0,0.0,0.0,
2a:56:5a:9e:2e:ce,0.0,0.0,0.0,
