Mac nameDiff Lat,Diff Lon,Diff Alt,
00:02:6f:8e:64:67,0.0,0.0,0.0,
00:11:6b:11:02:b7,0.0,0.0,0.0,
00:11:6b:11:7e:0c,0.0,0.0,0.0,
00:18:25:12:72:f0,0.0,0.0,0.0,
00:1a:dd:f5:df:c5,0.0,0.0,0.0,
00:1d:aa:81:d8:3c,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
00:27:22:f3:bb:2b,0.0,0.0,0.0,
02:21:5c:af:69:82,0.0,0.0,0.0,
1c:b9:c4:12:7c:c8,0.0,0.0,0.0,
1c:b9:c4:12:90:b8,7.105427357601002E-15,0.0,0.0,
1c:b9:c4:12:af:78,7.105427357601002E-15,0.0,0.0,
1c:b9:c4:12:af:7c,0.0,0.0,0.0,
1c:b9:c4:14:2b:88,0.0,1.4210854715202004E-14,1.1368683772161603E-13,
1c:b9:c4:14:2b:8c,0.0,0.0,0.0,
1c:b9:c4:14:2b:c8,0.0,0.0,0.0,
1c:b9:c4:14:2b:d8,0.0,0.0,0.0,
1c:b9:c4:14:2b:dc,0.0,0.0,0.0,
1c:b9:c4:14:2c:38,0.0,0.0,0.0,
1c:b9:c4:14:2c:3c,0.0,0.0,0.0,
1c:b9:c4:14:2f:68,9.331993130246019E-5,4.3557958250062256E-5,0.5945074803628358,
1c:b9:c4:14:30:38,0.0,7.105427357601002E-15,1.1368683772161603E-13,
1c:b9:c4:14:30:3c,0.0,0.0,0.0,
1c:b9:c4:14:33:c8,0.0,7.105427357601002E-15,0.0,
1c:b9:c4:14:33:cc,0.0,0.0,0.0,
1c:b9:c4:15:1c:b8,0.0,0.0,0.0,
1c:b9:c4:15:1c:bc,0.0,0.0,0.0,
1c:b9:c4:15:1e:68,0.0,0.0,0.0,
1c:b9:c4:15:1e:6c,0.0,0.0,0.0,
1c:b9:c4:15:23:58,0.0,0.0,0.0,
1c:b9:c4:15:25:48,0.0,0.0,0.0,
1c:b9:c4:15:3a:38,0.0,0.0,0.0,
1c:b9:c4:15:3d:6c,0.0,0.0,0.0,
1c:b9:c4:15:41:78,0.0,0.0,0.0,
1c:b9:c4:15:42:68,0.0,0.0,0.0,
1c:b9:c4:15:44:58,0.0,0.0,2.2737367544323206E-13,
1c:b9:c4:15:44:88,0.0,0.0,0.0,
1c:b9:c4:15:ec:38,0.0,0.0,0.0,
1c:b9:c4:15:ec:3c,0.0,0.0,0.0,
1c:b9:c4:15:ed:38,0.0,0.0,0.0,
1c:b9:c4:15:ed:3c,0.0,0.0,0.0,
1c:b9:c4:15:ed:48,7.105427357601002E-15,0.0,0.0,
1c:b9:c4:15:fd:48,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
1c:b9:c4:15:fd:4c,0.0,0.0,0.0,
1c:b9:c4:15:fd:e8,0.0,0.0,0.0,
1c:b9:c4:16:05:38,1.1678781481094802E-4,1.6636263230651593E-4,0.06031575923429955,
1c:b9:c4:16:05:78,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:16:06:b8,3.261351899652709E-6,1.0077444326839213E-4,0.13899063267695055,
1c:b9:c4:16:06:bc,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:16:11:a8,7.105427357601002E-15,0.0,1.1368683772161603E-13,
1c:b9:c4:16:11:ac,0.0,0.0,0.0,
1c:b9:c4:16:1d:78,0.0,0.0,0.0,
1c:b9:c4:16:1d:7c,0.0,0.0,0.0,
1c:b9:c4:16:28:e8,7.105427357601002E-15,0.0,0.0,
1c:b9:c4:16:28:ec,0.0,0.0,0.0,
1c:b9:c4:16:28:f8,0.0,0.0,0.0,
1c:b9:c4:16:2b:e8,0.0,0.0,0.0,
1c:b9:c4:16:2d:e8,0.0,0.0,0.0,
1c:b9:c4:16:cc:d8,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:16:cd:18,0.0,0.0,0.0,
1c:b9:c4:16:d2:88,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:16:e5:a8,0.0,0.0,0.0,
1c:b9:c4:16:ed:38,7.105427357601002E-15,7.105427357601002E-15,1.1368683772161603E-13,
1c:b9:c4:16:ed:3c,0.0,0.0,0.0,
1c:b9:c4:16:ed:48,0.0,0.0,0.0,
1c:b9:c4:16:ee:98,7.105427357601002E-15,7.105427357601002E-15,0.0,
1c:b9:c4:16:f1:5c,0.0,0.0,0.0,
1c:b9:c4:16:f1:98,0.0,7.105427357601002E-15,0.0,
1c:b9:c4:16:f4:78,0.0,0.0,1.1368683772161603E-13,
1c:b9:c4:16:f4:7c,0.0,0.0,0.0,
1c:b9:c4:56:cd:18,0.0,0.0,0.0,
1c:b9:c4:92:af:77,0.0,0.0,0.0,
1c:b9:c4:94:2b:87,0.0,0.0,0.0,
1c:b9:c4:94:2c:37,0.0,0.0,0.0,
1c:b9:c4:94:30:37,0.0,0.0,0.0,
