WigleWifi-1.4,appRelease=2.26,model=EVA-L09,release=7.0,device=HWEVA,display=EVA-L09C576B386,board=EVA,brand=HUAWEI
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-09 10:46:40,1,-81,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:96:06:b7,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:40,36,-71,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:16:06:bc,Ariel_University,[ESS],2017-11-09 10:46:40,36,-76,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
3c:52:82:ef:d4:52,DIRECT-51-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-09 10:46:40,6,-79,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
24:79:2a:2c:5c:18,Ariel_University,[ESS],2017-11-09 10:46:40,11,-81,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:15:fd:48,Ariel_University,[ESS],2017-11-09 10:46:40,1,-90,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
24:79:2a:2c:5b:dc,Ariel_University,[ESS],2017-11-09 10:46:40,36,-83,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
24:79:2a:2b:bd:88,Ariel_University,[ESS],2017-11-09 10:46:40,11,-83,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-09 10:46:40,6,-90,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
24:79:2a:2c:5b:d8,Ariel_University,[ESS],2017-11-09 10:46:40,1,-85,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-09 10:46:40,11,-85,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:16:1d:78,Ariel_University,[ESS],2017-11-09 10:46:40,11,-84,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-09 10:46:40,6,-86,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:12:af:7c,Ariel_University,[ESS],2017-11-09 10:46:40,40,-81,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:16:ed:3c,Ariel_University,[ESS],2017-11-09 10:46:40,44,-87,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:16:ed:38,Ariel_University,[ESS],2017-11-09 10:46:40,6,-84,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS],2017-11-09 10:46:40,1,-88,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
00:27:19:e8:ed:58,AUC,[ESS],2017-11-09 10:46:40,9,-92,32.103575721767356,35.20981358320715,700.7934038854937,4,WIFI
42501_7211_3084801,Partner,UNKNOWN;il,2017-11-09 10:46:40,0,-113,32.103575721767356,35.20981358320715,700.7934038854937,4,GSM
1c:b9:c4:96:f1:57,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:44,44,-84,32.103546403884316,35.20979907478348,701.0263730622981,4,WIFI
00:1d:aa:81:d8:3c,KCG-ADSL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 10:46:44,3,-85,32.103546403884316,35.20979907478348,701.0263730622981,4,WIFI
1c:b9:c4:16:f1:5c,Ariel_University,[ESS],2017-11-09 10:46:44,44,-85,32.103546403884316,35.20979907478348,701.0263730622981,4,WIFI
1c:b9:c4:15:ec:3c,Ariel_University,[ESS],2017-11-09 10:46:44,36,-88,32.103546403884316,35.20979907478348,701.0263730622981,4,WIFI
1c:b9:c4:12:90:bc,Ariel_University,[ESS],2017-11-09 10:46:46,40,-86,32.1035334314024,35.20979323713615,701.0974182925469,4,WIFI
1c:b9:c4:15:1c:bc,Ariel_University,[ESS],2017-11-09 10:46:46,36,-87,32.1035334314024,35.20979323713615,701.0974182925469,4,WIFI
1c:b9:c4:12:af:78,Ariel_University,[ESS],2017-11-09 10:46:46,11,-87,32.1035334314024,35.20979323713615,701.0974182925469,4,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS],2017-11-09 10:46:46,11,-89,32.1035334314024,35.20979323713615,701.0974182925469,4,WIFI
1c:b9:c4:92:af:77,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:47,40,-80,32.10352515720742,35.20978887858082,701.1206552119431,4,WIFI
1c:b9:c4:16:e5:ac,Ariel_University,[ESS],2017-11-09 10:46:47,52,-87,32.10352515720742,35.20978887858082,701.1206552119431,4,WIFI
1c:b9:c4:14:30:3c,Ariel_University,[ESS],2017-11-09 10:46:47,44,-87,32.10352515720742,35.20978887858082,701.1206552119431,4,WIFI
00:1d:aa:81:d8:3c,KCG-ADSL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-09 10:46:49,3,-79,32.10350147775975,35.2097804234569,701.1689249594424,4,WIFI
1c:b9:c4:96:e5:a7,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:49,52,-83,32.10350147775975,35.2097804234569,701.1689249594424,4,WIFI
1c:b9:c4:16:f1:58,Ariel_University,[ESS],2017-11-09 10:46:49,11,-85,32.10350147775975,35.2097804234569,701.1689249594424,4,WIFI
1c:b9:c4:16:f1:5c,Ariel_University,[ESS],2017-11-09 10:46:51,44,-78,32.103483183163924,35.20977622295387,701.2902998096471,4,WIFI
1c:b9:c4:16:e5:ac,Ariel_University,[ESS],2017-11-09 10:46:51,52,-82,32.103483183163924,35.20977622295387,701.2902998096471,4,WIFI
a0:8c:fd:0a:24:56,DIRECT-13-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-09 10:46:51,6,-80,32.103483183163924,35.20977622295387,701.2902998096471,4,WIFI
30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-09 10:46:53,6,-75,32.10345648240087,35.209763173616544,701.4746558274165,4,WIFI
1c:b9:c4:95:fd:47,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:53,44,-86,32.10345648240087,35.209763173616544,701.4746558274165,4,WIFI
c0:4a:00:71:ee:ee,Onicom,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-09 10:46:53,9,-94,32.10345648240087,35.209763173616544,701.4746558274165,4,WIFI
1c:b9:c4:15:fd:4c,Ariel_University,[ESS],2017-11-09 10:46:53,44,-86,32.10345648240087,35.209763173616544,701.4746558274165,4,WIFI
1c:b9:c4:16:ed:48,Ariel_University,[ESS],2017-11-09 10:46:55,6,-84,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-09 10:46:55,1,-74,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:96:ed:37,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:55,44,-84,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:14:2b:8c,Ariel_University,[ESS],2017-11-09 10:46:55,36,-84,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:14:2b:88,Ariel_University,[ESS],2017-11-09 10:46:55,6,-81,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:16:ed:4c,Ariel_University,[ESS],2017-11-09 10:46:55,36,-85,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS],2017-11-09 10:46:55,1,-83,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
d8:5d:4c:9e:69:22,AUC_4_2_24,[ESS],2017-11-09 10:46:55,1,-87,32.10343418647773,35.20975032365214,701.6698276786367,4,WIFI
1c:b9:c4:16:ed:38,Ariel_University,[ESS],2017-11-09 10:46:57,6,-78,32.10341153790137,35.209736180312774,701.8609489696696,4,WIFI
00:27:19:e8:ed:58,AUC,[ESS],2017-11-09 10:46:57,9,-87,32.10341153790137,35.209736180312774,701.8609489696696,4,WIFI
1c:b9:c4:94:2b:87,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:46:57,36,-84,32.10341153790137,35.209736180312774,701.8609489696696,4,WIFI
1c:b9:c4:15:ed:b8,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 10:46:59,1,-89,32.10338619985673,35.20972052258957,702.0594256513319,4,WIFI
1c:b9:c4:16:f4:7c,Ariel_University,[ESS],2017-11-09 10:46:59,36,-87,32.10338619985673,35.20972052258957,702.0594256513319,4,WIFI
1c:b9:c4:15:ed:bc,IT-MNG,[WPA2-PSK-CCMP+TKIP][ESS],2017-11-09 10:47:01,48,-87,32.10336095839262,35.20970358562172,702.2328157351955,4,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-09 10:47:03,11,-85,32.10333915125788,35.20969271110107,702.380387841058,4,WIFI
1c:b9:c4:95:1c:b7,,[WPA2-PSK-CCMP][ESS],2017-11-09 10:47:03,36,-85,32.10333915125788,35.20969271110107,702.380387841058,4,WIFI
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-09 10:47:07,6,-78,32.10330059584223,35.20968295206526,702.680472479812,4,WIFI
1c:b9:c4:16:ed:3c,Ariel_University,[ESS],2017-11-09 10:47:09,44,-81,32.103277130898256,35.20967530227266,702.8719719355164,4,WIFI
1c:b9:c4:16:ed:3c,Ariel_University,[ESS],2017-11-09 10:47:11,44,-75,32.103258964874065,35.20967051293601,703.0524029339106,4,WIFI
1c:b9:c4:12:af:7c,Ariel_University,[ESS],2017-11-09 10:47:13,40,-76,32.103234723383785,35.209657277233156,703.2245027655915,4,WIFI
00:27:19:e8:ed:58,AUC,[ESS],2017-11-09 10:47:13,9,-82,32.103234723383785,35.209657277233156,703.2245027655915,4,WIFI
1c:b9:c4:12:af:78,Ariel_University,[ESS],2017-11-09 10:47:13,11,-80,32.103234723383785,35.209657277233156,703.2245027655915,4,WIFI
